episode: 21000 | round: 3 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0429 | hype: 3.000
episode: 21000 | round: 4 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0429 | hype: 4.000
episode: 21000 | round: 5 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0429 | hype: 5.000

episode: 21100 | round: 1 | strat: exploit | valution: 0.390 | bid: 0.000 | opps: ['0.538', 'None', '0.442'] | won: False | reward: 0.0000 | epsilon: 0.0423 | hype: 0.538
episode: 21100 | round: 2 | strat: exploit | valution: 0.464 | bid: 0.000 | opps: ['None', 'None', '0.590'] | won: False | reward: 0.0000 | epsilon: 0.0423 | hype: 1.128
episode: 21100 | round: 3 | strat: exploit | valution: 0.490 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0423 | hype: 1.718
episode: 21100 | round: 4 | strat: exploit | valution: 0.490 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0423 | hype: 2.308
episode: 21100 | round: 5 | strat: exploit | valution: 0.490 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0423 | hype: 2.898

episode: 21200 | round: 1 | strat: exploit | valution: 0.962 | bid: 1.000 | opps: ['1.000', 'None', '0.788'] | won: False | reward: -0.0300 | epsilon: 0.0417 | hype: 1.000
episode: 21200 | round: 2 | strat: exploit | valution: 0.981 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0417 | hype: 2.000
episode: 21200 | round: 3 | strat: exploit | valution: 0.981 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0417 | hype: 3.000
episode: 21200 | round: 4 | strat: exploit | valution: 0.981 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0417 | hype: 4.000
episode: 21200 | round: 5 | strat: exploit | valution: 0.981 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0417 | hype: 5.000

episode: 21300 | round: 1 | strat: exploit | valution: 0.084 | bid: 0.000 | opps: ['0.532', 'None', '0.348'] | won: False | reward: 0.0000 | epsilon: 0.0411 | hype: 0.532
episode: 21300 | round: 2 | strat: exploit | valution: 0.308 | bid: 0.060 | opps: ['None', 'None', '0.540'] | won: False | reward: -0.0300 | epsilon: 0.0411 | hype: 1.072
episode: 21300 | round: 3 | strat: exploit | valution: 0.312 | bid: 0.060 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0600 | epsilon: 0.0411 | hype: 1.612
episode: 21300 | round: 4 | strat: exploit | valution: 0.312 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0600 | epsilon: 0.0411 | hype: 2.152
episode: 21300 | round: 5 | strat: exploit | valution: 0.312 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0600 | epsilon: 0.0411 | hype: 2.692

episode: 21400 | round: 1 | strat: exploit | valution: 0.873 | bid: 0.000 | opps: ['1.000', 'None', '0.890'] | won: False | reward: 0.0000 | epsilon: 0.0404 | hype: 1.000
episode: 21400 | round: 2 | strat: exploit | valution: 0.936 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0404 | hype: 2.000
episode: 21400 | round: 3 | strat: exploit | valution: 0.936 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0404 | hype: 3.000
episode: 21400 | round: 4 | strat: exploit | valution: 0.936 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0404 | hype: 4.000
episode: 21400 | round: 5 | strat: exploit | valution: 0.936 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0404 | hype: 5.000

episode: 21500 | round: 1 | strat: exploit | valution: 0.759 | bid: 0.840 | opps: ['1.000', 'None', '0.869'] | won: False | reward: -0.0300 | epsilon: 0.0398 | hype: 1.000
episode: 21500 | round: 2 | strat: exploit | valution: 0.880 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0398 | hype: 2.000
episode: 21500 | round: 3 | strat: exploit | valution: 0.880 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0398 | hype: 3.000
episode: 21500 | round: 4 | strat: exploit | valution: 0.880 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0398 | hype: 4.000
episode: 21500 | round: 5 | strat: exploit | valution: 0.880 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0398 | hype: 5.000

episode: 21600 | round: 1 | strat: exploit | valution: 0.525 | bid: 0.310 | opps: ['0.683', 'None', '0.617'] | won: False | reward: -0.0300 | epsilon: 0.0392 | hype: 0.683
episode: 21600 | round: 2 | strat: explore | valution: 0.604 | bid: 0.780 | opps: ['None', 'None', '0.750'] | won: False | reward: -0.0503 | epsilon: 0.0392 | hype: 1.463
episode: 21600 | round: 3 | strat: exploit | valution: 0.652 | bid: 0.000 | opps: ['None', 'None', '0.899'] | won: False | reward: -0.0503 | epsilon: 0.0392 | hype: 2.362
episode: 21600 | round: 4 | strat: exploit | valution: 0.712 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0503 | epsilon: 0.0392 | hype: 3.260
episode: 21600 | round: 5 | strat: exploit | valution: 0.712 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0503 | epsilon: 0.0392 | hype: 4.159

episode: 21700 | round: 1 | strat: exploit | valution: 0.878 | bid: 1.000 | opps: ['1.000', 'None', '0.757'] | won: False | reward: 0.0700 | epsilon: 0.0387 | hype: 1.000
episode: 21700 | round: 2 | strat: exploit | valution: 0.939 | bid: 0.850 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0400 | epsilon: 0.0387 | hype: 2.000
episode: 21700 | round: 3 | strat: exploit | valution: 0.939 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0400 | epsilon: 0.0387 | hype: 3.000
episode: 21700 | round: 4 | strat: exploit | valution: 0.939 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0400 | epsilon: 0.0387 | hype: 4.000
episode: 21700 | round: 5 | strat: exploit | valution: 0.939 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: True | reward: -0.0210 | epsilon: 0.0387 | hype: 5.000

episode: 21800 | round: 1 | strat: exploit | valution: 0.619 | bid: 0.000 | opps: ['0.839', 'None', '0.471'] | won: False | reward: 0.0000 | epsilon: 0.0381 | hype: 0.839
episode: 21800 | round: 2 | strat: exploit | valution: 0.729 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0381 | hype: 1.678
episode: 21800 | round: 3 | strat: exploit | valution: 0.729 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0381 | hype: 2.516
episode: 21800 | round: 4 | strat: exploit | valution: 0.729 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0381 | hype: 3.355
episode: 21800 | round: 5 | strat: exploit | valution: 0.729 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0381 | hype: 4.194

episode: 21900 | round: 1 | strat: exploit | valution: 0.385 | bid: 0.000 | opps: ['None', 'None', '0.187'] | won: False | reward: 0.0000 | epsilon: 0.0375 | hype: 0.187
episode: 21900 | round: 2 | strat: exploit | valution: 0.286 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0375 | hype: 0.374
